name,maintainers,license,repository,repoName,urlWorks
react-native-code-push,pfleidi axemclion toys silhouettes ryanjsalva bretjohnson maximpop bokang sergey-akhalkov max-mironov pniko appcenter alexandergoncharov v-nitoro andreidubov igorkrasavin,MIT,github.com/microsoft/react-native-code-push,react-native-code-push,1
carbon-components,joshblack tay1orjones emyarod vpicone tjegan carbon-bot adavila jnm2377 dakahn abbeyhrt andreancardona,Apache-2.0,github.com/carbon-design-system/carbon,carbon,1
eslint-plugin-sort-keys-fix,leo-buneev,ISC,github.com/leo-buneev/eslint-plugin-sort-keys-fix,eslint-plugin-sort-keys-fix,1
is-iexplorer,kevva,MIT,github.com/kevva/is-iexplorer,is-iexplorer,1
passthrough-counter,jongleberry dougwilson,MIT,github.com/stream-utils/passthrough-counter,passthrough-counter,1
check-disk-space,alex-d,MIT,github.com/Alex-D/check-disk-space,check-disk-space,1
@graphql-toolkit/file-loading,ardatan dotansimha urigo,MIT,github.com/ardatan/graphql-toolkit,graphql-toolkit,1
glossy,squeeks,NULL,github.com/squeeks/glossy,glossy,1
@types/util.promisify,types,MIT,github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,1
smtp-server,andris,MIT,github.com/andris9/smtp-server,smtp-server,1
@wdio/jasmine-framework,wswebcreation-nl christian-bromann wdio-user,MIT,github.com/webdriverio/webdriverio,webdriverio,1
compare-oriented-cell,mikolalysenko,MIT,github.com/mikolalysenko/compare-oriented-cell,compare-oriented-cell,1
react-window-infinite-loader,brianvaughn andrewbeletskiy,MIT,github.com/bvaughn/react-window-infinite-loader,react-window-infinite-loader,1
cell-orientation,mikolalysenko,MIT,github.com/mikolalysenko/cell-orientation,cell-orientation,1
renovate,rarkins renovate-bot publish-bot,AGPL-3.0,github.com/renovatebot/renovate,renovate,1
compare-cell,mikolalysenko,MIT,github.com/mikolalysenko/compare-cells,compare-cells,1
speakeasy,markbao,MIT,github.com/speakeasyjs/speakeasy,speakeasy,1
country-regex,etpinard,MIT,github.com/etpinard/country-regex,country-regex,1
livereload,bphogan,MIT,github.com/napcs/node-livereload,node-livereload,1
rhea-promise,amarzavery bterlson ramya-rao-a alexghiondea,Apache-2.0,github.com/amqp/rhea-promise,rhea-promise,1
lodash.rest,jdalton mathias phated,MIT,github.com/lodash/lodash,lodash,1
capitalize,grncdr robkuz,MIT,github.com/grncdr/js-capitalize,js-capitalize,1
@rushstack/rig-package,microsoft odspnpm rushstack,MIT,github.com/microsoft/rushstack/tree/master/libraries/rig-package,rig-package,1
cubic-hermite,mikolalysenko,MIT,github.com/mikolalysenko/cubic-hermite,cubic-hermite,1
@react-aria/ssr,devongovett,Apache-2.0,github.com/adobe/react-spectrum,react-spectrum,1
@blakeembrey/deque,blakeembrey,Apache-2.0,github.com/blakeembrey/deque,deque,1
unified-args,wooorm,MIT,github.com/unifiedjs/unified-args,unified-args,1
expect.js,rauchg,NULL,github.com/LearnBoost/expect.js,expect.js,1
ember-test-waiters,scalvert,MIT,github.com/emberjs/ember-test-waiters,ember-test-waiters,1
@types/dir-glob,types,MIT,github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,1
graphql-transformer-common,mlabieniec elorzafe kaustavghosh06,Apache-2.0,github.com/aws-amplify/amplify-cli,amplify-cli,1
has-hover,dfcreative,MIT,github.com/dfcreative/has-hover,has-hover,1
gulp-rev,sindresorhus,MIT,github.com/sindresorhus/gulp-rev,gulp-rev,1
html5shiv,afarkas,NULL,github.com/aFarkas/html5shiv,html5shiv,1
babel-plugin-react-display-name,sebmck,MIT,github.com/babel-plugins/babel-plugin-react-display-name,babel-plugin-react-display-name,0
@react-pdf/pdfkit,diegomura,MIT,NULL,NULL,-1
gatsby-plugin-google-analytics,rachelbahl dschau jamo kylemathews pieh sidharthachatterjee wardpeet vladar tylerbarnes ascorbic fk smthomas lekoarts laurieontech freiksenet monastic.panic m-allanson moocar,MIT,github.com/gatsbyjs/gatsby,gatsby,1
jasmine-jquery,travisjeffery,MIT,github.com/velesin/jasmine-jquery,jasmine-jquery,1
@types/slice-ansi,types,MIT,github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,1
net,sleeplessinc,JSON_Stuff,github.com/sleeplessinc/net,net,1
function-loop,isaacs,ISC,github.com/isaacs/function-loop,function-loop,1
koa-logger,coderhaoxin dead_horse fengmk2 jongleberry tjholowaychuk,MIT,github.com/koajs/logger,logger,1
match-stream,evanoxfeld,MIT,github.com/EvanOxfeld/match-stream,match-stream,1
react-native-elements,dabit3 monte9 iroachie flyingcircle,MIT,github.com/react-native-elements/react-native-elements,react-native-elements,1
slice-stream,evanoxfeld,MIT,github.com/EvanOxfeld/slice-stream,slice-stream,1
own-or-env,isaacs,ISC,github.com/isaacs/own-or-env,own-or-env,1
koa-session,aheckmann coderhaoxin juliangruber eivifj dead_horse tjholowaychuk jongleberry fengmk2,MIT,github.com/koajs/session,session,1
@react-pdf/fontkit,diegomura jbovenschen,MIT,NULL,NULL,-1
acorn-static-class-features,marijn adrianheine rreverser,MIT,github.com/acornjs/acorn-static-class-features,acorn-static-class-features,1
jest-css-modules,justinsisley,ISC,github.com/justinsisley/Jest-CSS-Modules,Jest-CSS-Modules,1
@pdf-lib/standard-fonts,hopding,MIT,github.com/Hopding/standard-fonts,standard-fonts,1
yapool,isaacs,ISC,github.com/isaacs/yapool,yapool,1
grunt-eslint,sindresorhus,MIT,github.com/sindresorhus/grunt-eslint,grunt-eslint,1
@react-pdf/unicode-properties,diegomura jbovenschen,MIT,github.com/devongovett/unicode-properties,unicode-properties,1
keypather,bkendall dominathan tjmehta,MIT,github.com/tjmehta/value-for-keypath,value-for-keypath,1
trivial-deferred,isaacs,ISC,github.com/isaacs/trivial-deferred,trivial-deferred,1
own-or,isaacs,ISC,github.com/isaacs/own-or,own-or,1
noop2,yoshuawuyts,MIT,github.com/yoshuawuyts/noop2,noop2,1
async-array-reduce,doowb jonschlinkert,MIT,github.com/jonschlinkert/async-array-reduce,async-array-reduce,1
@types/natural-compare,types,MIT,github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,1
@types/video.js,types,MIT,github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,1
@react-pdf/textkit,diegomura,MIT,NULL,NULL,-1
@react-pdf/png-js,diegomura jbovenschen,MIT,NULL,NULL,-1
tslint-to-eslint-config,joshuakgoldberg,MIT,github.com/typescript-eslint/tslint-to-eslint-config,tslint-to-eslint-config,1
async.util.noop,kikobeats,MIT,github.com/async-js/async.util,async.util,1
@formatjs/intl-locale,longlho redonkulus pyrocat,MIT,github.com/formatjs/formatjs,formatjs,1
is-firefox,gillstrom,MIT,github.com/gillstrom/is-firefox,is-firefox,1
async.util.onlyonce,kikobeats,MIT,github.com/async-js/async.util,async.util,1
async.util.isarray,kikobeats,MIT,github.com/async-js/async.util,async.util,1
@ladjs/i18n,niftylettuce shaunwarman spence-s,MIT,github.com/ladjs/i18n,i18n,1
moment-timezone-data-webpack-plugin,gilmoreorless,MIT,github.com/gilmoreorless/moment-timezone-data-webpack-plugin,moment-timezone-data-webpack-plugin,1
@react-aria/interactions,devongovett aspro83,Apache-2.0,github.com/adobe/react-spectrum,react-spectrum,1
media-engine,diegomura,MIT,NULL,NULL,-1
openapi-response-validator,jsdevel,MIT,github.com/kogosoftwarellc/open-api/tree/master/packages/openapi-response-validator,openapi-response-validator,1
storybook-react-router,gvaldambrini,MIT,github.com/gvaldambrini/storybook-router,storybook-router,1
gulp-shell,sun-zheng-an,MIT,github.com/sun-zheng-an/gulp-shell,gulp-shell,1
koa-passport,rkusa,MIT,github.com/rkusa/koa-passport,koa-passport,1
element-size,hughsk,MIT,github.com/hughsk/element-size,element-size,1
react-native-modal-datetime-picker,mmazzarolo,MIT,github.com/mmazzarolo/react-native-modal-datetime-picker,react-native-modal-datetime-picker,1
@types/detect-node,types,MIT,github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,1
glsl-out-of-range,alexcjohnson andrefarzat antrg archmoj bpostlethwaite chriddyp dmt0 etpinard jackparmer jackwluo jmmease marivet matthew_plotly maxkfranz nicolaskruchten rmarren1 shammamah shannon-lal t4rk verazabeida vnieman wilzbach xhlu,MIT,github.com/plotly/glsl-out-of-range,glsl-out-of-range,1
@shopify/app-bridge,marytal themallen thomaskelly nathanpjf shopify-dep ismail.syed goodforonefare lemonmade huguestennier wizardlyhel antoine.grant tsov keyfer andyw8-shopify henrytao hannachen andrewapperley iainmcampbell vividviolet,MIT,github.com/Shopify/app-bridge,app-bridge,0
lodash.words,jdalton mathias phated,MIT,github.com/lodash/lodash,lodash,1
101,tjmehta,MIT,github.com/tjmehta/101,101,1
lodash.truncate,jdalton mathias phated,MIT,github.com/lodash/lodash,lodash,1
vue-runtime-helpers,znck,MIT,github.com/znck/vue-runtime-helpers,vue-runtime-helpers,1
ice-cap,h13i32maru,MIT,github.com/h13i32maru/ice-cap,ice-cap,1
@types/esquery,types,MIT,github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,1
create-eslint-index,jfmengels,MIT,github.com/jfmengels/create-eslint-index,create-eslint-index,1
ipv6-normalize,poying,MIT,github.com/poying/ipv6-normalize,ipv6-normalize,0
babel-plugin-undeclared-variables-check,amasad hzoo jmm loganfsmyth sebmck thejameskyle,MIT,github.com/babel/babel/tree/master/packages/babel-plugin-undeclared-variables-check,babel-plugin-undeclared-variables-check,0
